date,value
2020/1/1,2790
2020/1/2,3080
2020/1/3,3384
2020/1/4,3636
2020/1/5,2695
2020/1/6,3009
2020/1/7,3104
2020/1/8,3235
2020/1/9,3131
2020/1/10,3298
2020/1/11,3851
2020/1/12,3091
2020/1/13,3157
2020/1/14,3412
2020/1/15,3386
2020/1/16,3005
2020/1/17,3399
2020/1/18,3160
2020/1/19,3334
2020/1/20,3183
2020/1/21,3259
2020/1/22,3887
2020/1/23,3344
2020/1/24,3483
2020/1/25,3551
2020/1/26,3528
2020/1/27,3704
2020/1/28,3653
2020/1/29,3304
2020/1/30,2991
2020/1/31,3361
2020/2/1,3890
2020/2/2,3247
2020/2/3,4088
2020/2/4,3302
2020/2/5,3643
2020/2/6,3347
2020/2/7,3767
2020/2/8,3660
2020/2/9,3084
2020/2/10,3146
2020/2/11,3219
2020/2/12,3348
2020/2/13,3246
2020/2/14,3123
2020/2/15,2996
2020/2/16,3985
2020/2/17,3744
2020/2/18,4249
2020/2/19,3564
2020/2/20,3132
2020/2/21,3138
2020/2/22,3674
2020/2/23,3739
2020/2/24,3010
2020/2/25,3124
2020/2/26,3167
2020/2/27,4253
2020/2/28,3286
2020/2/29,2806
2020/3/1,3321
2020/3/2,3295
2020/3/3,3106
2020/3/4,3758
2020/3/5,3518
2020/3/6,3179
2020/3/7,3712
2020/3/8,3379
2020/3/9,3209
2020/3/10,3931
2020/3/11,3255
2020/3/12,3002
2020/3/13,3098
2020/3/14,3826
2020/3/15,3493
2020/3/16,4820
2020/3/17,4143
2020/3/18,4153
2020/3/19,3085
2020/3/20,3700
2020/3/21,3020
2020/3/22,3086
2020/3/23,3771
2020/3/24,4125
2020/3/25,3577
2020/3/26,3187
2020/3/27,3264
2020/3/28,4066
2020/3/29,3489
2020/3/30,3508
2020/3/31,3322
2020/4/1,4095
2020/4/2,4108
2020/4/3,3749
2020/4/4,4414
2020/4/5,4249
2020/4/6,4054
2020/4/7,4037
2020/4/8,3364
2020/4/9,3678
2020/4/10,4650
2020/4/11,3179
2020/4/12,2809
2020/4/13,3328
2020/4/14,3563
2020/4/15,3497
2020/4/16,3144
2020/4/17,3609
2020/4/18,3489
2020/4/19,3028
2020/4/20,4091
2020/4/21,4376
2020/4/22,4031
2020/4/23,3948
2020/4/24,3948
2020/4/25,3166
2020/4/26,3120
2020/4/27,3810
2020/4/28,4687
2020/4/29,3346
2020/4/30,4864
2020/5/1,3512
2020/5/2,3414
2020/5/3,2967
2020/5/4,3476
2020/5/5,3400
2020/5/6,3426
2020/5/7,3736
2020/5/8,3414
2020/5/9,3823
2020/5/10,3015
2020/5/11,3350
2020/5/12,3766
2020/5/13,4199
2020/5/14,3382
2020/5/15,3622
2020/5/16,3947
2020/5/17,4241
2020/5/18,4085
2020/5/19,4626
2020/5/20,4951
2020/5/21,3983
2020/5/22,3675
2020/5/23,4061
2020/5/24,4289
2020/5/25,3942
2020/5/26,3563
2020/5/27,4932
2020/5/28,5261
2020/5/29,4098
2020/5/30,4186
2020/5/31,3430
2020/6/1,3633
2020/6/2,4071
2020/6/3,4163
2020/6/4,3754
2020/6/5,3682
2020/6/6,4240
2020/6/7,4535
2020/6/8,4580
2020/6/9,4515
2020/6/10,4367
2020/6/11,3986
2020/6/12,3586
2020/6/13,3764
2020/6/14,4572
2020/6/15,5033
2020/6/16,4022
2020/6/17,3975
2020/6/18,4191
2020/6/19,3862
2020/6/20,3675
2020/6/21,3484
2020/6/22,3849
2020/6/23,3768
2020/6/24,4086
2020/6/25,3379
2020/6/26,3907
2020/6/27,3620
2020/6/28,3412
2020/6/29,4013
2020/6/30,4646
2020/7/1,4029
